Accession,GenBank_RefSeq,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Release_Date
OR342275.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TUN/seq_TUN_1/2022, complete genome",29755,complete,Tunisia,Tunisia,Homo sapiens,3/31/2022,12/14/2024
OR342284.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TUN/seq_TUN_10/2022, complete genome",29768,complete,Tunisia,Tunisia,Homo sapiens,4/19/2022,12/14/2024
PQ140551.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ETH/EPHI-3754-08/2022, complete genome",29774,complete,Ethiopia,Ethiopia,Homo sapiens,8/1/2022,8/11/2024
PP522074.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GP-K611/2021, complete genome",29814,complete,South Africa,South Africa,Homo sapiens,6/23/2021,3/22/2024
PP522080.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GP-L760/2021, complete genome",29849,complete,South Africa,South Africa,Homo sapiens,6/29/2021,3/22/2024
PP522118.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-4591/2020, complete genome",29814,complete,South Africa,South Africa,Homo sapiens,6/17/2020,3/22/2024
PP522145.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-I303/2021, complete genome",29827,complete,South Africa,South Africa,Homo sapiens,9/7/2021,3/22/2024
PP522162.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-2393/2020, complete genome",29814,complete,South Africa,South Africa,Homo sapiens,6/5/2020,3/22/2024
PP522167.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-2457/2020, complete genome",29777,complete,South Africa,South Africa,Homo sapiens,4/25/2020,3/22/2024
PP522181.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-2939/2020, complete genome",29851,complete,South Africa,South Africa,Homo sapiens,5/9/2020,3/22/2024
PP522186.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-3114/2020, complete genome",29777,complete,South Africa,South Africa,Homo sapiens,5/14/2020,3/22/2024
PP522207.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-3827/2020, complete genome",29814,complete,South Africa,South Africa,Homo sapiens,6/2/2020,3/22/2024
PP522247.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GP-N293/2021, complete genome",29796,complete,South Africa,South Africa,Homo sapiens,6/14/2021,3/22/2024
PP522290.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-AE29/2021, complete genome",29814,complete,South Africa,South Africa,Homo sapiens,10/11/2021,3/22/2024
PP522301.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-AQ56/2021, complete genome",29831,complete,South Africa,South Africa,Homo sapiens,12/8/2021,3/22/2024
PP522451.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-A446/2021, complete genome",29803,complete,South Africa,South Africa,Homo sapiens,1/18/2021,3/22/2024
OQ520955.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CMR/CAM-548/2021, complete genome",29701,complete,Cameroon,Cameroon,Homo sapiens,7/1/2021,12/31/2023
OQ521363.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CMR/CERI-KRISP-K026360/2021, complete genome",29889,complete,Cameroon,Cameroon,Homo sapiens,8/13/2021,12/31/2023
OQ521386.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CMR/CERI-KRISP-K026385/2021, complete genome",29890,complete,Cameroon,Cameroon,Homo sapiens,9/13/2021,12/31/2023
OR099117.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11546/2021, complete genome",29774,complete,Kenya,Kenya,Homo sapiens,12/16/2021,6/7/2023
OQ924196.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/DJI_NAMRU3_G491/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,9/20/2022,5/4/2023
OQ924202.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/DJI_NAMRU3_H211/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,8/12/2022,5/4/2023
OQ924204.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/DJI_NAMRU3_H227/2022, complete genome",29705,complete,Djibouti,Djibouti,Homo sapiens,9/1/2022,5/4/2023
OQ352654.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11376/2021, complete genome",29791,complete,Kenya,Kenya,Homo sapiens,12/16/2021,1/31/2023
OQ352731.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11470/2021, complete genome",29799,complete,Kenya,Kenya,Homo sapiens,12/29/2021,1/31/2023
